n,pattern,operation,time_us
1000,random,insert,174
1000,random,search,0
1000,random,failed_search,0
1000,random,remove,412
1000,ascending,insert,402
1000,ascending,search,0
1000,ascending,failed_search,0
1000,ascending,remove,153
1000,descending,insert,4105
1000,descending,search,0
1000,descending,failed_search,0
1000,descending,remove,250
5000,random,insert,235
5000,random,search,0
5000,random,failed_search,0
5000,random,remove,208
5000,ascending,insert,170
5000,ascending,search,0
5000,ascending,failed_search,0
5000,ascending,remove,56
5000,descending,insert,8586
5000,descending,search,0
5000,descending,failed_search,0
5000,descending,remove,870
10000,random,insert,261
10000,random,search,0
10000,random,failed_search,0
10000,random,remove,249
10000,ascending,insert,169
10000,ascending,search,0
10000,ascending,failed_search,0
10000,ascending,remove,48
10000,descending,insert,19546
10000,descending,search,0
10000,descending,failed_search,0
10000,descending,remove,2329
50000,random,insert,371
50000,random,search,0
50000,random,failed_search,0
50000,random,remove,394
50000,ascending,insert,226
50000,ascending,search,0
50000,ascending,failed_search,0
50000,ascending,remove,66
50000,descending,insert,78339
50000,descending,search,0
50000,descending,failed_search,0
50000,descending,remove,14337
100000,random,insert,428
100000,random,search,0
100000,random,failed_search,0
100000,random,remove,522
100000,ascending,insert,245
100000,ascending,search,0
100000,ascending,failed_search,0
100000,ascending,remove,73
100000,descending,insert,219242
100000,descending,search,0
100000,descending,failed_search,0
100000,descending,remove,38314
