n,collision_rate,operation,time_us
1000,0,insert,982
1000,0,search,0
1000,0,failed_search,0
1000,0,remove,335
1000,0.01,insert,835
1000,0.01,search,0
1000,0.01,failed_search,0
1000,0.01,remove,278
1000,0.1,insert,391
1000,0.1,search,0
1000,0.1,failed_search,0
1000,0.1,remove,230
5000,0,insert,486
5000,0,search,0
5000,0,failed_search,0
5000,0,remove,276
5000,0.01,insert,451
5000,0.01,search,0
5000,0.01,failed_search,0
5000,0.01,remove,308
5000,0.1,insert,462
5000,0.1,search,0
5000,0.1,failed_search,0
5000,0.1,remove,264
10000,0,insert,601
10000,0,search,0
10000,0,failed_search,0
10000,0,remove,316
10000,0.01,insert,471
10000,0.01,search,0
10000,0.01,failed_search,0
10000,0.01,remove,427
10000,0.1,insert,486
10000,0.1,search,0
10000,0.1,failed_search,0
10000,0.1,remove,285
50000,0,insert,705
50000,0,search,0
50000,0,failed_search,0
50000,0,remove,482
50000,0.01,insert,677
50000,0.01,search,0
50000,0.01,failed_search,0
50000,0.01,remove,568
50000,0.1,insert,673
50000,0.1,search,0
50000,0.1,failed_search,0
50000,0.1,remove,474
100000,0,insert,748
100000,0,search,0
100000,0,failed_search,0
100000,0,remove,620
100000,0.01,insert,713
100000,0.01,search,0
100000,0.01,failed_search,0
100000,0.01,remove,682
100000,0.1,insert,709
100000,0.1,search,0
100000,0.1,failed_search,0
100000,0.1,remove,586
